ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
301338.SZ,凯格精机,专用设备,深交所,161.25,-4.5858,168.0,170.48,157.52,8974929.0,1461073525.0,9.5157,161.91,176.763,206.548,191.1517,159.6326,107.2687,-3.9455,-0.3972,258.44,142.05,258.44,142.05,-37.6064,-37.6064,73.0159,146.6411,,,,,,31.0596,-16.0737,0.0,0.0,0.0,114.46708555,14.7277722,,,,95.0644,99.2489,-53.0848,21.5,56.76,50.0,15.9438,neutral,0.25,0.35,0.25,0.15,,,
600527.SH,江南高纤,纺织制造,上交所,2.33,2.193,2.25,2.33,2.18,73570663.0,165396457.0,3.2026,2.354,2.341,2.438,2.6363,2.4583,2.3288,-3.8644,-0.183,2.7,2.28,3.26,2.27,-13.7037,-28.5276,62.6984,56.805,,,,,0.0,32.0,-0.0034,0.0,0.0,0.0,181.92515694,1.92060873,,,,97.0248,89.4215,-51.3141,22.5,53.0292,50.0,15.8038,neutral,0.25,0.35,0.25,0.15,,,
605287.SH,德才股份,装修装饰Ⅱ,上交所,43.14,-1.2363,44.95,44.95,42.0,4561420.0,197088674.0,4.2909,42.654,41.616,43.445,46.218,44.1139,32.0275,-3.5809,-0.1394,54.0,38.2,63.2,38.2,-20.1111,-31.7405,70.6349,74.9187,,,,,,49.4493,0.5665,0.0,0.0,0.0,103.99489378,3.94244968,,,,98.0229,94.5137,-52.9364,25.5,50.4,50.0,15.7909,neutral,0.25,0.35,0.25,0.15,,,
600901.SH,江苏金租,多元金融,上交所,6.11,0.9917,5.99,6.11,5.83,41124473.0,246686894.0,0.4277,6.288,6.438,6.424,6.6277,6.4597,6.214,-0.6419,-0.3009,6.77,6.05,7.18,6.05,-9.7489,-14.9025,34.9206,39.1228,,,,,-15670737.52,40.0,-0.0692,25.0,0.0,0.0,10.50787332,1.33688803,,,,73.4711,78.5124,-40.343,30.8,30.3752,50.0,15.788,neutral,0.25,0.35,0.25,0.15,,,
688360.SH,德马科技,通用设备,科创板,20.1,-4.7393,21.1,21.18,19.3,10262000.0,205125234.0,2.3726,20.794,21.169,22.254,20.4783,20.3119,20.8789,-3.2393,1.0245,27.39,20.1,27.39,17.51,-26.6156,-26.6156,42.4603,50.2901,,,,,,37.3786,-0.6407,0.0,0.0,0.0,51.83966061,3.50192256,,,,82.3967,83.3884,-44.6859,23.0,45.48,50.0,15.7485,neutral,0.25,0.35,0.25,0.15,,,
603798.SH,康普顿,炼化及贸易,上交所,14.99,-2.9145,15.35,15.39,14.63,5864100.0,87412850.0,1.8676,15.708,15.548,15.7465,16.4508,16.0754,14.9579,-3.5938,1.265,16.81,14.86,19.32,12.98,-10.8269,-22.412,37.3016,51.2844,,,,,0.0,39.2989,-0.0059,0.0,0.0,0.0,90.12980495,3.13487973,,,,96.8595,85.5372,-50.2851,24.0,49.6692,50.0,15.746,neutral,0.25,0.35,0.25,0.15,,,
301222.SZ,浙江恒威,电池,深交所,32.0,-5.7437,33.9,35.54,31.03,8412644.0,270160081.0,4.7814,33.106,33.385,34.1525,38.8265,35.0717,32.3799,-7.6922,0.0619,45.1,30.36,51.45,30.36,-29.0466,-37.8037,67.0635,155.8078,,,,,,48.6684,0.2387,0.0,0.0,0.0,51.15482885,3.07565006,,,,97.0192,95.4808,-52.8269,24.5,51.14,50.0,15.6533,neutral,0.25,0.35,0.25,0.15,,,
603373.SH,安邦护卫,专业服务,上交所,38.67,0.0,38.64,39.23,37.1,2972744.0,113128971.0,5.2512,38.402,35.894,42.2795,42.3537,41.4787,44.4816,-4.7566,-0.602,51.11,32.64,51.11,32.64,-24.3397,-24.3397,10.3175,136.6985,,,,,,41.9653,-0.6976,0.0,0.0,0.0,46.18171672,3.17626429,,,,98.0165,96.5289,-53.438,24.0,51.98,50.0,15.5355,neutral,0.25,0.35,0.25,0.15,,,
300154.SZ,瑞凌股份,通用设备,创业板,8.67,-4.0929,9.03,9.03,8.36,11839300.0,102234542.0,2.3356,9.146,9.1,9.538,9.2155,9.2115,9.1504,-5.1276,0.7177,11.09,8.67,11.99,7.75,-21.8215,-27.6897,21.4286,50.1489,,,,,,38.4393,-0.2017,0.0,0.0,0.0,42.22783722,2.06528543,,,,96.1983,67.2727,-45.4876,23.0,45.36,50.0,15.5181,neutral,0.25,0.35,0.25,0.15,,,
688069.SH,德林海,环境治理,科创板,40.9,-1.0165,41.32,42.09,39.45,5993156.0,243284307.0,2.5029,44.114,48.129,52.3965,45.063,34.7212,28.3084,-8.7543,3.6324,60.42,40.65,67.79,25.46,-32.3072,-39.6666,87.3016,114.6052,,,,,,23.5246,-4.3462,0.0,0.0,0.0,67.66605652,5.02266379,,,,87.9534,99.0083,-50.5358,26.0,45.98,50.0,15.461,neutral,0.25,0.35,0.25,0.15,,,
301251.SZ,威尔高,元件,深交所,53.17,-2.0088,54.45,54.5,51.19,6417161.0,338164118.0,16.9413,53.208,49.946,54.7525,61.2857,60.4556,55.5308,-7.207,-1.0633,75.5,45.37,75.5,45.37,-29.5762,-29.5762,30.1587,127.4516,,,,,-4183730.16,55.4391,1.4516,0.0,0.0,0.0,203.51554517,6.77971555,,,,99.8516,97.3294,-54.2804,22.0,54.971,50.0,15.3726,neutral,0.25,0.35,0.25,0.15,,,
603016.SH,新宏泰,电网设备,上交所,36.4,-1.7809,36.36,37.61,35.49,3529500.0,128124466.0,3.5847,36.81,37.084,40.496,46.3658,39.068,33.0727,-6.8736,0.2996,47.16,36.09,59.88,36.09,-22.8159,-39.2118,76.5873,36.9201,,,,,,24.8869,-0.3517,0.0,0.0,0.0,97.90138033,6.3552017,,,,95.7025,92.4793,-51.6157,24.5,48.44,50.0,15.2811,neutral,0.25,0.35,0.25,0.15,,,
600590.SH,泰豪科技,军工电子Ⅱ,上交所,11.7,-3.5449,12.07,12.45,11.48,40537666.0,479483751.0,2.9124,11.896,11.928,12.803,14.3288,13.1484,11.2896,-4.5407,-1.5809,15.28,11.45,17.59,11.45,-23.4293,-33.4849,64.2857,68.1183,,,,,-2039926.5,36.6071,-0.0343,0.0,0.0,0.0,126.45163091,2.92591512,,,,81.2749,90.4132,-46.0495,21.5,46.4386,50.0,15.1223,neutral,0.25,0.35,0.25,0.15,,,
603336.SH,宏辉果蔬,种植业,上交所,7.97,-1.4833,8.11,8.11,7.68,18157760.0,143172528.0,2.1512,8.144,8.513,9.3295,10.156,9.6512,9.0519,-10.6156,-0.5191,12.0,7.97,12.89,7.97,-33.5833,-38.1691,17.4603,40.0206,,,,,,18.251,-0.2507,0.0,0.0,0.0,294.71278622,3.34665861,,,,80.9091,77.1074,-42.595,20.0,45.06,50.0,15.1162,neutral,0.25,0.35,0.25,0.15,,,
002015.SZ,协鑫能科,电力,深交所,18.12,-2.7375,18.47,18.56,17.64,95168240.0,1718545072.0,9.064,18.578,18.683,20.7785,19.7182,16.3482,13.875,-3.1712,-0.6274,24.37,17.11,24.37,15.94,-25.6463,-25.6463,78.5714,77.8506,,,,,-8692157.6,32.0319,-0.8154,0.0,0.0,0.0,66.90586288,2.42669614,,,,97.1901,75.2893,-47.8389,21.5,48.1542,50.0,15.1038,neutral,0.25,0.35,0.25,0.15,,,
603296.SH,华勤技术,消费电子,上交所,79.36,-1.2935,81.68,82.88,75.7,31074704.0,2443297924.0,2.5199,90.28,96.381,104.291,102.415,96.0577,92.1709,-4.2952,0.3197,124.6,79.36,124.6,79.36,-36.3082,-36.3082,6.746,110.4284,,,,,,24.1067,-7.207,0.0,0.0,0.0,27.2448062,4.34832192,,,,83.1655,94.8201,-47.8129,23.0,46.0,50.0,15.0968,neutral,0.25,0.35,0.25,0.15,,,
600348.SH,华阳股份,煤炭开采,上交所,8.36,2.2005,8.2,8.42,8.02,39517902.0,326521386.0,0.7764,8.468,8.823,9.1265,9.3755,9.2534,8.3004,-1.8603,-0.7814,9.88,8.18,10.58,8.18,-15.3846,-20.983,54.7619,41.708,,,,,-9026805.81,25.8389,-0.2261,0.0,0.0,0.0,18.54010517,1.05784104,,,,88.1818,32.8099,-34.0661,22.5,32.9219,50.0,15.089,neutral,0.25,0.35,0.25,0.15,,,
