ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
601101.SH,昊华能源,煤炭开采,上交所,9.89,1.1247,9.3,10.06,9.3,61765782.0,607358080.0,2.4299,9.178,8.716,8.5835,8.3513,7.9462,7.653,1.5799,1.7029,9.89,8.18,9.89,7.53,0.0,0.0,99.6032,52.6016,,,,,-4321690.89,75.8065,0.3284,100.0,4.0,5.0,29.25848664,1.32029907,,,,95.0413,94.7934,-51.9628,77.8,43.666,50.0,32.6558,neutral,0.25,0.35,0.25,0.15,,,
000582.SZ,北部湾港,航运港口,深交所,10.84,-0.3676,10.87,10.97,10.81,19826968.0,215595177.0,2.0437,10.904,10.828,10.728,10.6158,9.8921,9.2061,0.3789,0.8854,11.0,10.21,11.56,9.48,-1.4545,-6.2284,90.4762,28.965,,,,,-1040127.36,64.9289,0.0396,100.0,8.0,14.0,27.46801168,1.44133565,,,,97.686,95.8678,-53.157,75.4,48.1385,50.0,32.6354,neutral,0.25,0.35,0.25,0.15,,,
300346.SZ,南大光电,电子化学品Ⅱ,创业板,51.73,-3.4348,53.3,55.46,50.96,76840428.0,4145051762.0,16.0957,52.078,50.453,48.4085,50.9888,47.9669,40.9488,3.5764,-1.3886,53.57,44.51,59.56,44.2,-3.4348,-13.1464,85.3175,36.8378,,,,,-16018542.72,72.0203,1.4925,100.0,14.0,4.0,141.70464574,13.71326687,,,,84.9587,95.9504,-48.7231,71.1,49.6963,50.0,32.6283,neutral,0.25,0.35,0.25,0.15,,,
002446.SZ,盛路通信,军工电子Ⅱ,深交所,10.3,2.7944,9.99,10.33,9.96,30562016.0,312526821.0,7.746,10.448,10.397,10.1265,10.6852,10.1861,8.7891,2.412,-0.9471,10.9,9.6,12.46,9.15,-5.5046,-17.3355,77.381,42.3144,,,,,2864518.67,59.887,0.118,75.0,1.0,0.0,150.54958391,4.11436822,,,,62.1908,97.8512,-41.2296,54.5,65.3329,50.0,32.6008,neutral,0.25,0.35,0.25,0.15,,,
300777.SZ,中简科技,航空装备Ⅱ,创业板,36.76,1.9978,36.08,36.88,35.55,16226369.0,591377598.0,2.5205,35.494,35.013,35.5,39.5288,37.2468,36.409,0.2457,-1.9663,38.46,31.69,47.72,31.69,-4.4202,-22.9673,66.2698,62.2768,,,,,-19668264.96,56.1812,0.6671,75.0,3.0,0.0,55.76273667,2.67859103,,,,56.9421,10.3306,-17.5124,58.1,36.4811,50.0,32.5772,neutral,0.25,0.35,0.25,0.15,,,
601890.SH,亚星锚链,航海装备Ⅱ,上交所,10.37,-3.5349,10.64,10.68,10.18,45017651.0,465529372.0,1.774,10.708,10.616,10.433,11.1448,10.8045,10.2338,1.3552,-0.0986,10.99,9.91,13.69,9.89,-5.6415,-24.2513,57.9365,30.0213,,,,,-4785894.48,55.2743,0.1456,50.0,0.0,0.0,24.25135759,2.17586452,,,,1.0744,21.9008,-0.8512,43.0,40.9041,50.0,32.5632,neutral,0.25,0.35,0.25,0.15,,,
601857.SH,中国石油,炼化及贸易,上交所,11.96,0.2515,11.88,12.05,11.82,182151716.0,2180422832.0,0.0927,11.726,11.698,11.954,11.6413,10.7289,9.5961,-0.5863,1.2965,12.56,11.45,13.24,9.83,-4.7771,-9.6677,89.2857,29.2348,,,,,4740303.9,35.4369,-0.0397,75.0,1.0,3.0,10.88749432,1.06013757,,,,71.2397,72.4793,-38.0537,63.0,50.0324,50.0,32.5447,neutral,0.25,0.35,0.25,0.15,,,
605298.SH,必得科技,轨交设备Ⅱ,上交所,63.27,1.2482,62.56,63.98,61.26,4147413.0,261074310.0,1.0447,61.132,55.968,51.8355,47.2627,43.83,32.9568,9.1572,3.3098,63.27,45.17,63.27,40.45,0.0,0.0,99.6032,56.1061,,,,,,84.0444,2.8738,100.0,15.0,22.0,187.44661367,10.03239802,,,,98.4298,98.5124,-54.0785,80.0,42.16,50.0,32.5204,neutral,0.25,0.35,0.25,0.15,,,
600498.SH,烽火通信,通信设备,上交所,51.6,-1.2629,51.05,53.98,51.05,130761815.0,6861251666.0,10.6581,53.636,51.831,51.0505,47.9783,38.1517,30.3786,4.4896,2.7913,56.26,47.82,58.44,39.07,-8.283,-11.7043,92.8571,66.0662,,,,,-5437800.0,55.3102,0.2783,100.0,16.0,89.0,268.21069697,6.39580437,,,,99.9174,99.9174,-54.9504,72.3,53.7579,50.0,32.5069,neutral,0.25,0.35,0.25,0.15,,,
301251.SZ,威尔高,元件,深交所,64.57,0.9695,63.99,65.77,63.9,4134087.0,268091488.0,6.4406,65.614,66.795,63.5695,62.677,58.8439,51.5007,3.6702,1.1762,68.46,54.88,75.0,51.17,-5.6822,-13.9067,89.6825,43.7211,,,,,-4183730.16,63.4508,-0.1854,100.0,14.0,14.0,185.96733537,6.19513185,,,,98.0684,95.3938,-53.1724,72.1,52.257,50.0,32.5061,neutral,0.25,0.35,0.25,0.15,,,
